[INFO ] 2019-08-02T15:06:50,216Z [main] cliutils.CliWrapperBase.call - Application Args: generate-node-info
[INFO ] 2019-08-02T15:06:54,209Z [main] internal.Node.logStartupInfo - classpath: /Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/Notary/corda.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/corda-shell-4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/corda-rpc-4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/corda-node-api-4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/corda-tools-cliutils-4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/corda-common-configuration-parsing-4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/corda-common-validation-4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/corda-confidential-identities-4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/log4j-slf4j-impl-2.9.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/log4j-web-2.9.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jul-to-slf4j-1.7.25.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/corda-jackson-4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/corda-serialization-4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/corda-core-4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/kotlin-stdlib-jdk8-1.2.71.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jackson-module-kotlin-2.9.5.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/kotlin-reflect-1.2.71.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/quasar-core-0.7.10-jdk8.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/kryo-serializers-0.42.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/kryo-4.0.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jimfs-1.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/metrics-new-relic-1.1.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/guava-25.1-jre.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/caffeine-2.6.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/disruptor-3.4.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/commons-collections4-4.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/artemis-amqp-protocol-2.6.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/artemis-server-2.6.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/artemis-jms-client-2.6.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/artemis-jdbc-store-2.6.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/artemis-core-client-2.6.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/artemis-journal-2.6.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/artemis-commons-2.6.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/shiro-core-1.4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/shiro-config-ogdl-1.4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/commons-beanutils-1.9.3.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jcabi-manifests-1.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/forms_rt-7.0.3.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/metrics-core-3.2.5.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/config-1.3.3.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/h2-1.4.197.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/postgresql-42.2.5.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/HikariCP-2.5.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/hibernate-java8-5.3.6.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/hibernate-core-5.3.6.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/okhttp-3.5.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/picocli-3.8.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/ea-agent-loader-1.0.3.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/commons-codec-1.10.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/library-master-v1.1-beta-g6215ec8-87.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/copycat-client-1.2.3.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/copycat-server-1.2.3.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/catalyst-netty-1.1.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jolokia-jvm-1.6.0-agent.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/kotlin-stdlib-jre8-1.2.71.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/commons-fileupload-1.3.3.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/proton-j-0.27.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/classgraph-4.6.12.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/liquibase-core-3.5.5.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jackson-datatype-jsr310-2.9.5.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jackson-databind-2.9.5.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/liquibase-slf4j-2.0.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/crash.connectors.ssh-cadb53544fbb3c0fb901445da614998a6a419488.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/crash.shell-cadb53544fbb3c0fb901445da614998a6a419488.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jansi-1.14.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/log4j-core-2.9.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/commons-io-2.6.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jcabi-log-0.14.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/shiro-cache-1.4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/shiro-crypto-hash-1.4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/shiro-crypto-cipher-1.4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/shiro-config-core-1.4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/shiro-event-1.4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/shiro-crypto-core-1.4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/shiro-lang-1.4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/copycat-protocol-1.2.3.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/catalyst-transport-1.1.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jcl-over-slf4j-1.7.25.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/mina-core-2.0.16.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/catalyst-concurrent-1.1.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/sshd-pam-0.11.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/sshd-core-1.6.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/catalyst-serializer-1.1.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/catalyst-buffer-1.1.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/catalyst-common-1.1.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/slf4j-api-1.7.25.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/log4j-api-2.9.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/kotlin-stdlib-jdk7-1.2.71.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/kotlin-stdlib-jre7-1.2.71.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/kotlin-stdlib-1.2.71.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/reflectasm-1.11.3.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/minlog-1.3.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/objenesis-2.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jsr305-3.0.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/checker-qual-2.0.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/error_prone_annotations-2.1.3.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/j2objc-annotations-1.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/animal-sniffer-annotations-1.14.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/commons-collections-3.2.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/artemis-native-2.6.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/hibernate-commons-annotations-5.0.4.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jboss-logging-3.3.2.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/artemis-selector-2.6.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/netty-handler-4.1.22.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/netty-transport-native-epoll-4.1.22.Final-linux-x86_64.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/netty-transport-native-kqueue-4.1.22.Final-osx-x86_64.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/netty-codec-http-4.1.22.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/netty-codec-4.1.22.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/netty-transport-native-unix-common-4.1.22.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/netty-transport-4.1.22.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/netty-buffer-4.1.22.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/netty-resolver-4.1.22.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/netty-common-4.1.22.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/geronimo-json_1.0_spec-1.0-alpha-1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jgroups-3.6.13.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/johnzon-core-0.9.5.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/forms-1.1-preview.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jdom-1.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/javax.persistence-api-2.2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/javassist-3.23.1-GA.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/byte-buddy-1.8.17.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/antlr-2.7.7.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jboss-transaction-api_1.2_spec-1.1.1.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jandex-2.0.5.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/classmate-1.3.4.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/javax.activation-api-1.2.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/dom4j-1.6.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/okio-1.11.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jolokia-core-1.6.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/json-simple-1.1.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/newrelic-api-3.10.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/HdrHistogram-2.1.9.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/LatencyUtils-2.0.3.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/rxjava-1.3.8.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/commons-jexl3-3.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/commons-lang-2.6.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/eddsa-0.2.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/bcpkix-jdk15on-1.60.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/bcprov-jdk15on-1.60.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/hibernate-jpa-2.1-api-1.0.0.Final.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/asm-5.0.4.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/snappy-0.4.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jackson-dataformat-yaml-2.9.5.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/snakeyaml-1.18.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jackson-annotations-2.9.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jackson-core-2.9.5.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/crash.cli-cadb53544fbb3c0fb901445da614998a6a419488.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/groovy-all-1.8.9.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/kotlin-stdlib-common-1.2.71.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/annotations-13.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/geronimo-jms_2.0_spec-1.0-alpha-2.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/jpam-1.1.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/corda-node-4.0.jar:/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/.cache/apps/net.corda.node.Corda_4.0/quasar-core-0.7.10-jdk8.jar
[INFO ] 2019-08-02T15:06:54,209Z [main] internal.Node.logStartupInfo - VM Java HotSpot(TM) 64-Bit Server VM Oracle Corporation 25.221-b11
[INFO ] 2019-08-02T15:06:54,209Z [main] internal.Node.logStartupInfo - Machine: aubreys-imac.lan
[INFO ] 2019-08-02T15:06:54,209Z [main] internal.Node.logStartupInfo - Working Directory: /Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/Notary
[INFO ] 2019-08-02T15:06:54,210Z [main] internal.Node.logStartupInfo - Starting as node on localhost:10002
[INFO ] 2019-08-02T15:06:54,561Z [main] cordapp.JarScanningCordappLoader.fromDirectories - Looking for CorDapps in [/Users/aubs/WORK/CORDA/bfn-corda-repo/bfn-corda/build/nodes/Notary/cordapps]
[INFO ] 2019-08-02T15:06:54,611Z [main] cordapp.JarScanningCordappLoader.<init> - No CorDapp paths provided
[INFO ] 2019-08-02T15:06:56,378Z [main] internal.Node.generateAndSaveNodeInfo - Generating nodeInfo ...
[INFO ] 2019-08-02T15:06:56,814Z [main] internal.Node.obtainIdentity - identity-private-key not found in key store, generating fresh key!
[INFO ] 2019-08-02T15:06:57,056Z [main] hikari.HikariDataSource.<init> - HikariPool-1 - Started.
[INFO ] 2019-08-02T15:07:02,947Z [main] liquibase.info - Creating database history table with name: PUBLIC.DATABASECHANGELOG
[INFO ] 2019-08-02T15:07:02,957Z [main] liquibase.info - Reading from PUBLIC.DATABASECHANGELOG
[INFO ] 2019-08-02T15:07:03,038Z [main] liquibase.info - master.changelog.json: migration/common.changelog-init.xml::1511451595465-1.3::R3.Corda: Skipping changeSet migration/common.changelog-init.xml::1511451595465-1.3::R3.Corda due to validation error(s): minValue is not allowed on h2
[INFO ] 2019-08-02T15:07:03,057Z [main] liquibase.info - master.changelog.json: migration/vault-schema.changelog-pkey.xml::non-clustered_pk-11::R3.Corda: Skipping changeSet migration/vault-schema.changelog-pkey.xml::non-clustered_pk-11::R3.Corda due to validation error(s): clustered is not allowed on h2
[INFO ] 2019-08-02T15:07:03,058Z [main] liquibase.info - master.changelog.json: migration/vault-schema.changelog-pkey.xml::non-clustered_pk-12::R3.Corda: Skipping changeSet migration/vault-schema.changelog-pkey.xml::non-clustered_pk-12::R3.Corda due to validation error(s): clustered is not allowed on h2
[INFO ] 2019-08-02T15:07:03,059Z [main] liquibase.info - master.changelog.json: migration/vault-schema.changelog-pkey.xml::non-clustered_pk-13::R3.Corda: Skipping changeSet migration/vault-schema.changelog-pkey.xml::non-clustered_pk-13::R3.Corda due to validation error(s): clustered is not allowed on h2
[INFO ] 2019-08-02T15:07:03,213Z [main] liquibase.info - master.changelog.json: migration/node-core.changelog-pkey.xml::non-clustered_pk-1::R3.Corda: Skipping changeSet migration/node-core.changelog-pkey.xml::non-clustered_pk-1::R3.Corda due to validation error(s): clustered is not allowed on h2
[INFO ] 2019-08-02T15:07:03,213Z [main] liquibase.info - master.changelog.json: migration/node-core.changelog-pkey.xml::non-clustered_pk-2::R3.Corda: Skipping changeSet migration/node-core.changelog-pkey.xml::non-clustered_pk-2::R3.Corda due to validation error(s): clustered is not allowed on h2
[INFO ] 2019-08-02T15:07:03,217Z [main] liquibase.info - master.changelog.json: migration/node-core.changelog-pkey.xml::non-clustered_pk-3::R3.Corda: Skipping changeSet migration/node-core.changelog-pkey.xml::non-clustered_pk-3::R3.Corda due to validation error(s): clustered is not allowed on h2
